VAV,RTU,Correlation,MSE
U,RTU_1,-0.497,115.15
U,RTU_2,-0.675,102.77
C,RTU_1,-0.319,527.47
C,RTU_2,-0.47,500.13
CC,RTU_1,-0.592,953.06
CC,RTU_2,-0.632,904.39
EE,RTU_1,0.562,29.14
EE,RTU_2,0.899,15.88
K,RTU_1,0.427,25.11
K,RTU_2,0.797,11.12
A,RTU_1,-0.153,592.1
A,RTU_2,-0.198,559.93
P,RTU_1,0.914,768.19
P,RTU_2,0.473,737.97
MM,RTU_1,0.313,34.32
MM,RTU_2,-0.126,36.88
KK,RTU_1,-0.034,1756.42
KK,RTU_2,-0.142,1703.57
T,RTU_1,0.971,7.18
T,RTU_2,0.56,11.79
I,RTU_1,0.468,29.16
I,RTU_2,0.773,16.05
Q,RTU_1,0.848,13.7
Q,RTU_2,0.335,18.37
NN,RTU_1,-0.363,538.24
NN,RTU_2,-0.342,500.27
V,RTU_1,0.558,855.65
V,RTU_2,0.337,820.8
QQ,RTU_1,0.949,11.62
QQ,RTU_2,0.518,14.88
AA,RTU_1,-0.424,553.39
AA,RTU_2,-0.517,520.53
UU,RTU_1,-0.328,191.02
UU,RTU_2,-0.478,172.29
R,RTU_1,0.907,1328.41
R,RTU_2,0.452,1285.32
E,RTU_1,-0.454,147.66
E,RTU_2,-0.583,129.95
N,RTU_1,-0.498,331.46
N,RTU_2,-0.548,304.16
J,RTU_1,0.513,16.05
J,RTU_2,0.893,4.08
M,RTU_1,-0.55,519.22
M,RTU_2,-0.613,487.68
HH,RTU_1,-0.013,554.2
HH,RTU_2,-0.337,528.38
RR,RTU_1,-0.03,71.23
RR,RTU_2,-0.251,62.16
BB,RTU_1,-0.115,377.81
BB,RTU_2,-0.21,392.78
L,RTU_1,-0.584,136.69
L,RTU_2,-0.618,119.09
W,RTU_1,-0.443,108.73
W,RTU_2,-0.452,90.9
Y,RTU_1,-0.251,78.17
Y,RTU_2,-0.491,66.83
LL,RTU_1,-0.19,87.6
LL,RTU_2,-0.384,82.16
Z,RTU_1,-0.445,767.14
Z,RTU_2,-0.55,729.11
TT,RTU_1,0.9,13.62
TT,RTU_2,0.442,17.81
G,RTU_1,0.104,34.4
G,RTU_2,0.367,21.09
X,RTU_1,-0.329,89.65
X,RTU_2,-0.527,81.69
F,RTU_1,-0.444,90.69
F,RTU_2,-0.432,74.13
S,RTU_1,0.909,11.59
S,RTU_2,0.448,16.45
O,RTU_1,0.145,51.99
O,RTU_2,-0.265,54.53
II,RTU_1,-0.385,379.1
II,RTU_2,-0.421,348.25
B,RTU_1,0.468,23.99
B,RTU_2,0.827,10.48
DD,RTU_1,-0.383,866.3
DD,RTU_2,-0.465,825.13
SS,RTU_1,0.063,63.89
SS,RTU_2,-0.111,53.85
JJ,RTU_1,0.395,288.37
JJ,RTU_2,0.628,257.99
OO,RTU_1,-0.458,163.85
OO,RTU_2,-0.562,144.7
PP,RTU_1,0.061,2237.82
PP,RTU_2,-0.163,2185.68
FF,RTU_1,-0.098,1959.41
FF,RTU_2,-0.127,1897.3
H,RTU_1,-0.526,206.93
H,RTU_2,-0.592,187.56
GG,RTU_1,0.049,442.47
GG,RTU_2,-0.023,412.81
D,RTU_1,-0.552,301.65
D,RTU_2,-0.489,269.75
